,absolute_magnitude,relative_velocity,miss_distance,hazardous,max_diameter,min_diameter,orbit_id,orbit_uncertainty,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,semi_major_axis,inclination,ascending_node_longitude,orbital_period,perihelion_distance,perihelion_argument,aphelion_distance,perihelion_time,mean_anomaly,mean_motion,equinox,orb_year,orb_month,orb_day,cap_year,cap_month,cap_day
2429,-0.1129999962925257,-0.766717020770945,0.1456020377984729,1.0,-0.2511147802956143,-0.2511147803130346,18.0,-0.0761690760014289,-0.3857869025483855,0.987216940639464,0.2917293151920961,-0.4312154496996053,-0.8395341838806596,-0.5635449487945843,-0.8976096119532558,-0.7793663535448656,-0.5961028949232146,0.8083171208962072,-0.771558245816723,0.2828518326816097,1.6244912672843062,0.9482774071763194,0,2017.0,4.0,20.0,2008.0,7.0,8.0
406,0.3403063785497677,0.2293698533010114,-1.052069773018485,0.0,-0.3868633464775026,-0.3868633465634234,10.0,0.9216855945917036,-0.4327963740819825,1.5182389760889785,0.2917293151920961,1.0387660374388927,-1.0841253028516555,0.7524409241704141,-0.0283739454579641,-0.9570199702477518,-1.8256771434856345,-1.484775681712164,-0.7162453084246921,0.3758854019896207,0.3856375006571368,1.7057723761793928,0,2017.0,4.0,6.0,1997.0,9.0,8.0
278,-0.2873486020011,-0.1561952717923508,-0.1637903313786551,1.0,-0.1730860506517938,-0.1730860507454932,53.0,-1.0740237465945617,-0.6046876047696459,1.910029624195022,0.2917293151920961,0.1519789137206226,-1.1857410871292806,0.7046101637672174,-0.8499118871391449,-1.0270090402933532,-1.4227923101131177,-0.2493073635078196,-0.9356462264623367,0.3238387528949406,1.0142727211708298,2.1141271393342693,0,2017.0,4.0,6.0,1996.0,11.0,22.0
3308,-0.9498733036936818,0.7803991911062926,1.1415199304350123,0.0,0.3576098159634152,0.357609815861309,37.0,-1.0740237465945617,1.249414116881846,-0.085350432791337,0.2917293151920961,0.8496959532237914,-0.2675213993235449,0.0195075623342145,-1.3843596712316752,-0.3172719631328941,-0.9213709656969412,-0.2383614011050555,-0.0518367633746799,0.2764471023141342,-1.6964727192606914,-0.1099608794383572,0,2017.0,4.0,6.0,2012.0,3.0,15.0
3066,-0.3570880442845295,-1.3182084142347423,0.1103021733214937,0.0,-0.1364836950414314,-0.1364836949573063,15.0,-0.0761690760014289,2.163607476030579,-1.097206445461905,0.2917293151920961,-0.1712379867593519,1.1788485219684797,-0.4338945729974212,0.0145229035374845,1.1000624327662598,1.9536188433942967,-1.5442637483979065,0.7872011618833978,-0.0355715795261036,-0.6140797808163337,-1.1766011337761355,0,2017.0,4.0,6.0,2011.0,4.0,8.0
1475,0.2008274939829087,-0.2160272814530271,-0.864399115396964,0.0,-0.353366849867471,-0.3533668499665149,3.0,0.5890673710606594,-0.7256387841570141,0.3032022760741605,0.2917293151920961,-0.8345956675250842,-0.4785616364748247,0.1672928560162577,-1.1757563144370466,-0.4949837285634538,0.2585537494168172,-0.8349156916931358,-0.5985378984303115,0.0846171454209757,-0.1274824626857946,0.200912346619365,0,2017.0,4.0,6.0,2003.0,11.0,22.0
811,-0.3222183231428141,0.6578436874834318,1.3299289647820285,0.0,-0.1552061985917003,-0.1552061985229538,9.0,-0.4087872995324731,1.353376529965406,1.2632512608959952,0.2917293151920961,1.879202789973308,-1.0297323310054949,1.1601758319502873,-0.3018307497437954,-0.9186175532077052,-2.294254419166232,0.022026304651186,-0.5317119286524373,0.1939796643261812,-0.6388344610590765,1.5128211492572,0,2017.0,4.0,6.0,2000.0,2.0,15.0
499,0.8633521956754906,0.083863818143009,-0.5952181895151124,0.0,-0.4694704549857508,-0.4694704550973583,9.0,0.9216855945917036,-0.6431326995216591,1.0657369672227004,0.2917293151920961,-0.6260300573726337,-0.8748168292549146,-0.081280707313814,-1.680608882726235,-0.8057700176492766,-0.51598256800459,1.2248441011243985,-0.83188319008436,0.3224099416791096,1.188555971530422,1.041802282498853,0,2017.0,4.0,6.0,1998.0,3.0,22.0
1664,-0.7406549768433934,-0.1967070928704553,-0.3049335373517771,1.0,0.1378959484553426,0.1378959484829329,37.0,-1.0740237465945617,-0.7624204365536719,0.8309863722831288,0.2917293151920961,-0.0186141465522549,-0.7873865618235089,0.311184554589028,0.7084923054820668,-0.7398754412586733,-0.8120115293108541,0.5807530266521744,-0.6565367382892726,0.1362111567181176,-0.2489381272177302,0.8180033527366097,0,2017.0,7.0,2.0,2004.0,11.0,8.0
2721,-0.7406549768433934,0.9061538992821402,0.7277262128809313,0.0,0.1378959484553426,0.1378959484829329,34.0,-0.7414055230635174,2.533753475484932,0.5792365963306916,0.2917293151920961,-0.3376380020424029,-0.6868736145634655,1.4901132216052293,0.0159477498162748,-0.6622142053248263,-0.4445173968003106,-0.0970217647267682,-0.6427155063070537,0.3681732314197397,0.8194616942481927,0.5907521864023938,0,2017.0,4.0,6.0,2009.0,10.0,22.0
